Variable 1,Variable 2,Correlation,P-value
C4H73GS = Seasonal exercise/activity G?,C4H73FFD = How many times per day do you do exercise/activity F?,0.6239767956414909,0.0
C4H73GI = What is the intensity of exercise/activity G?,C4H73FFW = How many days per week do you do exercise/activity F?,0.6232391480426649,0.0
C4H73FFW = How many days per week do you do exercise/activity F?,C4H73GI = What is the intensity of exercise/activity G?,0.6232391480426649,0.0
C4H73GFD = How many times per day do you do exercise/activity G?,C4H73FFW = How many days per week do you do exercise/activity F?,0.623234692230072,0.0
C4H73FFW = How many days per week do you do exercise/activity F?,C4H73GFD = How many times per day do you do exercise/activity G?,0.623234692230072,0.0
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4H73FFW = How many days per week do you do exercise/activity F?,0.6232319271671396,0.0
C4H73FFW = How many days per week do you do exercise/activity F?,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,0.6232319271671396,0.0
C4H73GS = Seasonal exercise/activity G?,C4H73FFW = How many days per week do you do exercise/activity F?,0.6232273023531416,0.0
C4H73FFW = How many days per week do you do exercise/activity F?,C4H73GC = Exercise/Activity G – Coded,0.6232273023531416,0.0
C4H73GC = Exercise/Activity G – Coded,C4H73FFW = How many days per week do you do exercise/activity F?,0.6232273023531416,0.0
C4H73FFW = How many days per week do you do exercise/activity F?,C4H73GS = Seasonal exercise/activity G?,0.6232273023531416,0.0
C4H73FFW = How many days per week do you do exercise/activity F?,C4H73GFW = How many days per week do you do exercise/activity G?,0.6232241820141706,0.0
C4H73GFW = How many days per week do you do exercise/activity G?,C4H73FFW = How many days per week do you do exercise/activity F?,0.6232241820141706,0.0
C4H73GI = What is the intensity of exercise/activity G?,C4H73FC = Exercise/Activity F – Coded,0.6232198747384443,0.0
C4H73FC = Exercise/Activity F – Coded,C4H73GI = What is the intensity of exercise/activity G?,0.6232198747384443,0.0
C4H73GFD = How many times per day do you do exercise/activity G?,C4H73FC = Exercise/Activity F – Coded,0.6232158069232477,0.0
C4H73FC = Exercise/Activity F – Coded,C4H73GFD = How many times per day do you do exercise/activity G?,0.6232158069232477,0.0
C4H73FC = Exercise/Activity F – Coded,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,0.6232121416051076,0.0
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4H73FC = Exercise/Activity F – Coded,0.6232121416051076,0.0
C4H73FC = Exercise/Activity F – Coded,C4H73GS = Seasonal exercise/activity G?,0.6232083629139127,0.0
C4H73FC = Exercise/Activity F – Coded,C4H73GC = Exercise/Activity G – Coded,0.6232083629139127,0.0
C4H73GS = Seasonal exercise/activity G?,C4H73FC = Exercise/Activity F – Coded,0.6232083629139127,0.0
C4H73GC = Exercise/Activity G – Coded,C4H73FC = Exercise/Activity F – Coded,0.6232083629139127,0.0
C4H73FC = Exercise/Activity F – Coded,C4H73GFW = How many days per week do you do exercise/activity G?,0.623208092319014,0.0
C4H73GFW = How many days per week do you do exercise/activity G?,C4H73FC = Exercise/Activity F – Coded,0.623208092319014,0.0
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73BFD = How many times per day do you do exercise/activity B?,0.6231552201258561,0.0
C4H73BFD = How many times per day do you do exercise/activity B?,C4H73AFD = How many times per day do you do exercise/activity A?,0.6231552201258561,0.0
C4H73FS = Seasonal exercise/activity F?,C4H73GFW = How many days per week do you do exercise/activity G?,0.6227437233740554,0.0
C4H73GFW = How many days per week do you do exercise/activity G?,C4H73FS = Seasonal exercise/activity F?,0.6227437233740554,0.0
C4H73FS = Seasonal exercise/activity F?,C4H73GS = Seasonal exercise/activity G?,0.6227415987744113,0.0
C4H73GC = Exercise/Activity G – Coded,C4H73FS = Seasonal exercise/activity F?,0.6227415987744113,0.0
C4H73FS = Seasonal exercise/activity F?,C4H73GC = Exercise/Activity G – Coded,0.6227415987744113,0.0
C4H73GS = Seasonal exercise/activity G?,C4H73FS = Seasonal exercise/activity F?,0.6227415987744113,0.0
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4H73FS = Seasonal exercise/activity F?,0.6227396723512452,0.0
C4H73FS = Seasonal exercise/activity F?,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,0.6227396723512452,0.0
C4H73FS = Seasonal exercise/activity F?,C4H73GFD = How many times per day do you do exercise/activity G?,0.6227376085472438,0.0
C4H73GFD = How many times per day do you do exercise/activity G?,C4H73FS = Seasonal exercise/activity F?,0.6227376085472438,0.0
C4H73GI = What is the intensity of exercise/activity G?,C4H73FS = Seasonal exercise/activity F?,0.6227290197520848,0.0
C4H73FS = Seasonal exercise/activity F?,C4H73GI = What is the intensity of exercise/activity G?,0.6227290197520848,0.0
C4H73GI = What is the intensity of exercise/activity G?,C4H73FI = What is the intensity of exercise/activity F?,0.6221425973156011,0.0
C4H73FI = What is the intensity of exercise/activity F?,C4H73GI = What is the intensity of exercise/activity G?,0.6221425973156011,0.0
C4H73FI = What is the intensity of exercise/activity F?,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,0.6221410294621951,0.0
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4H73FI = What is the intensity of exercise/activity F?,0.6221410294621951,0.0
C4H73GFD = How many times per day do you do exercise/activity G?,C4H73FI = What is the intensity of exercise/activity F?,0.6221406863805181,0.0
C4H73FI = What is the intensity of exercise/activity F?,C4H73GFD = How many times per day do you do exercise/activity G?,0.6221406863805181,0.0
C4H73GS = Seasonal exercise/activity G?,C4H73FI = What is the intensity of exercise/activity F?,0.6221341977833841,0.0
C4H73FI = What is the intensity of exercise/activity F?,C4H73GS = Seasonal exercise/activity G?,0.6221341977833841,0.0
C4H73GC = Exercise/Activity G – Coded,C4H73FI = What is the intensity of exercise/activity F?,0.6221341977833841,0.0
C4H73FI = What is the intensity of exercise/activity F?,C4H73GC = Exercise/Activity G – Coded,0.6221341977833841,0.0
C4H73GFW = How many days per week do you do exercise/activity G?,C4H73FI = What is the intensity of exercise/activity F?,0.622133684402012,0.0
C4H73FI = What is the intensity of exercise/activity F?,C4H73GFW = How many days per week do you do exercise/activity G?,0.622133684402012,0.0
C4H73AC = Exercise/Activity A – Coded,total_physical_activity,-0.616396062127565,0.0
total_physical_activity,C4H73AC = Exercise/Activity A – Coded,-0.616396062127565,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4H73BS = Seasonal exercise/activity B?,0.6143782692339934,0.0
C4H73BS = Seasonal exercise/activity B?,C4H73BFW = How many days per week do you do exercise/activity B?,0.6143782692339934,0.0
C4H73DI = What is the intensity of exercise/activity D?,C4H73EI = What is the intensity of exercise/activity E?,0.6131567311011349,0.0
C4H73EI = What is the intensity of exercise/activity E?,C4H73DI = What is the intensity of exercise/activity D?,0.6131567311011349,0.0
C4H73EC = Exercise/Activity E – Coded,C4H73DI = What is the intensity of exercise/activity D?,0.6131071170110407,0.0
C4H73DI = What is the intensity of exercise/activity D?,C4H73EC = Exercise/Activity E – Coded,0.6131071170110407,0.0
C4H73EFW = How many days per week do you do exercise/activity E?,C4H73DI = What is the intensity of exercise/activity D?,0.6130360471144595,0.0
C4H73DI = What is the intensity of exercise/activity D?,C4H73EFW = How many days per week do you do exercise/activity E?,0.6130360471144595,0.0
C4H73DI = What is the intensity of exercise/activity D?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.6130217135478074,0.0
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4H73DI = What is the intensity of exercise/activity D?,0.6130217135478074,0.0
C4H73EFD = How many times per day do you do exercise/activity E?,C4H73DI = What is the intensity of exercise/activity D?,0.6129108826700346,0.0
C4H73DI = What is the intensity of exercise/activity D?,C4H73EFD = How many times per day do you do exercise/activity E?,0.6129108826700346,0.0
C4H73DI = What is the intensity of exercise/activity D?,C4H73ES = Seasonal exercise/activity E?,0.6128927881199238,0.0
C4H73ES = Seasonal exercise/activity E?,C4H73DI = What is the intensity of exercise/activity D?,0.6128927881199238,0.0
C4H73BFD = How many times per day do you do exercise/activity B?,C4H73AS = Seasonal exercise/activity A?,0.6109491424596967,0.0
C4H73AS = Seasonal exercise/activity A?,C4H73BFD = How many times per day do you do exercise/activity B?,0.6109491424596967,0.0
C4H73AI = What is the intensity of exercise/activity A?,total_physical_activity,-0.6104392375602049,0.0
total_physical_activity,C4H73AI = What is the intensity of exercise/activity A?,-0.6104392375602049,0.0
C4H73DC = Exercise/Activity D – Coded,C4H73EFD = How many times per day do you do exercise/activity E?,0.6079930547990701,0.0
C4H73EFD = How many times per day do you do exercise/activity E?,C4H73DC = Exercise/Activity D – Coded,0.6079930547990701,0.0
C4H73DC = Exercise/Activity D – Coded,C4H73EC = Exercise/Activity E – Coded,0.6079881574676556,0.0
C4H73EC = Exercise/Activity E – Coded,C4H73DC = Exercise/Activity D – Coded,0.6079881574676556,0.0
C4H73EI = What is the intensity of exercise/activity E?,C4H73DC = Exercise/Activity D – Coded,0.6079785277458132,0.0
C4H73DC = Exercise/Activity D – Coded,C4H73EI = What is the intensity of exercise/activity E?,0.6079785277458132,0.0
C4H73DC = Exercise/Activity D – Coded,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.6079658065680715,0.0
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4H73DC = Exercise/Activity D – Coded,0.6079658065680715,0.0
C4H73DC = Exercise/Activity D – Coded,C4H73EFW = How many days per week do you do exercise/activity E?,0.6079516424582375,0.0
C4H73EFW = How many days per week do you do exercise/activity E?,C4H73DC = Exercise/Activity D – Coded,0.6079516424582375,0.0
C4H73DC = Exercise/Activity D – Coded,C4H73ES = Seasonal exercise/activity E?,0.6079257601532874,0.0
C4H73ES = Seasonal exercise/activity E?,C4H73DC = Exercise/Activity D – Coded,0.6079257601532874,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4BRTHDL = Blood Ratio Total / HDL Cholesterol,0.6072098068352968,0.0
C4BRTHDL = Blood Ratio Total / HDL Cholesterol,C4H73BFW = How many days per week do you do exercise/activity B?,0.6072098068352968,0.0
C4BRTHDL = Blood Ratio Total / HDL Cholesterol,C4BLDL = Blood LDL Cholesterol (mg/dL),0.6071719740701853,0.0
C4BLDL = Blood LDL Cholesterol (mg/dL),C4BRTHDL = Blood Ratio Total / HDL Cholesterol,0.6071719740701853,0.0
C4H73DFW = How many days per week do you do exercise/activity D?,C4H73EFW = How many days per week do you do exercise/activity E?,0.6027294289454797,0.0
C4H73EFW = How many days per week do you do exercise/activity E?,C4H73DFW = How many days per week do you do exercise/activity D?,0.6027294289454797,0.0
C4H73EFD = How many times per day do you do exercise/activity E?,C4H73DFW = How many days per week do you do exercise/activity D?,0.6027086551232232,0.0
C4H73DFW = How many days per week do you do exercise/activity D?,C4H73EFD = How many times per day do you do exercise/activity E?,0.6027086551232232,0.0
C4H73EC = Exercise/Activity E – Coded,C4H73DFW = How many days per week do you do exercise/activity D?,0.6026953053368803,0.0
C4H73DFW = How many days per week do you do exercise/activity D?,C4H73EC = Exercise/Activity E – Coded,0.6026953053368803,0.0
C4H73EI = What is the intensity of exercise/activity E?,C4H73DFW = How many days per week do you do exercise/activity D?,0.6026367198315333,0.0
C4H73DFW = How many days per week do you do exercise/activity D?,C4H73EI = What is the intensity of exercise/activity E?,0.6026367198315333,0.0
C4H73DFW = How many days per week do you do exercise/activity D?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.6026351365942825,0.0
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4H73DFW = How many days per week do you do exercise/activity D?,0.6026351365942825,0.0
C4H73ES = Seasonal exercise/activity E?,C4H73DFW = How many days per week do you do exercise/activity D?,0.6025226420186601,0.0
C4H73DFW = How many days per week do you do exercise/activity D?,C4H73ES = Seasonal exercise/activity E?,0.6025226420186601,0.0
C4H73DFD = How many times per day do you do exercise/activity D?,C4H73EFW = How many days per week do you do exercise/activity E?,0.6020749895092143,0.0
C4H73EFW = How many days per week do you do exercise/activity E?,C4H73DFD = How many times per day do you do exercise/activity D?,0.6020749895092143,0.0
C4H73DFD = How many times per day do you do exercise/activity D?,C4H73EFD = How many times per day do you do exercise/activity E?,0.6020684404276715,0.0
C4H73EFD = How many times per day do you do exercise/activity E?,C4H73DFD = How many times per day do you do exercise/activity D?,0.6020684404276715,0.0
C4H73EC = Exercise/Activity E – Coded,C4H73DFD = How many times per day do you do exercise/activity D?,0.6020646525882403,0.0
C4H73DFD = How many times per day do you do exercise/activity D?,C4H73EC = Exercise/Activity E – Coded,0.6020646525882403,0.0
C4H73EI = What is the intensity of exercise/activity E?,C4H73DFD = How many times per day do you do exercise/activity D?,0.6020591568827993,0.0
C4H73DFD = How many times per day do you do exercise/activity D?,C4H73EI = What is the intensity of exercise/activity E?,0.6020591568827993,0.0
C4H73DFD = How many times per day do you do exercise/activity D?,C4H73ES = Seasonal exercise/activity E?,0.6020409124612638,0.0
C4H73ES = Seasonal exercise/activity E?,C4H73DFD = How many times per day do you do exercise/activity D?,0.6020409124612638,0.0
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4H73ES = Seasonal exercise/activity E?,0.6020275500593847,0.0
C4H73ES = Seasonal exercise/activity E?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.6020275500593847,0.0
C4H73DFD = How many times per day do you do exercise/activity D?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.6019906394881746,0.0
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4H73DFD = How many times per day do you do exercise/activity D?,0.6019906394881746,0.0
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4H73EFD = How many times per day do you do exercise/activity E?,0.6018460804372378,0.0
C4H73EFD = How many times per day do you do exercise/activity E?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.6018460804372378,0.0
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.6018412182610113,0.0
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.6018412182610113,0.0
C4H73EI = What is the intensity of exercise/activity E?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.6018188319484244,0.0
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4H73EI = What is the intensity of exercise/activity E?,0.6018188319484244,0.0
C4H73EFW = How many days per week do you do exercise/activity E?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.6018076214049497,0.0
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4H73EFW = How many days per week do you do exercise/activity E?,0.6018076214049497,0.0
C4H73EC = Exercise/Activity E – Coded,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.6017602480835056,0.0
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4H73EC = Exercise/Activity E – Coded,0.6017602480835056,0.0
C4H73ES = Seasonal exercise/activity E?,C4H73DS = Seasonal exercise/activity D?,0.5957797970909295,0.0
C4H73DS = Seasonal exercise/activity D?,C4H73ES = Seasonal exercise/activity E?,0.5957797970909295,0.0
C4H73DS = Seasonal exercise/activity D?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.5957546118643187,0.0
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4H73DS = Seasonal exercise/activity D?,0.5957546118643187,0.0
C4H73EFD = How many times per day do you do exercise/activity E?,C4H73DS = Seasonal exercise/activity D?,0.5956887130017963,0.0
C4H73DS = Seasonal exercise/activity D?,C4H73EFD = How many times per day do you do exercise/activity E?,0.5956887130017963,0.0
C4H73EI = What is the intensity of exercise/activity E?,C4H73DS = Seasonal exercise/activity D?,0.5955075129025588,0.0
C4H73DS = Seasonal exercise/activity D?,C4H73EI = What is the intensity of exercise/activity E?,0.5955075129025588,0.0
C4H73EC = Exercise/Activity E – Coded,C4H73DS = Seasonal exercise/activity D?,0.5955051523784233,0.0
C4H73DS = Seasonal exercise/activity D?,C4H73EC = Exercise/Activity E – Coded,0.5955051523784233,0.0
C4H73EFW = How many days per week do you do exercise/activity E?,C4H73DS = Seasonal exercise/activity D?,0.5954340983237314,0.0
C4H73DS = Seasonal exercise/activity D?,C4H73EFW = How many days per week do you do exercise/activity E?,0.5954340983237314,0.0
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73BFW = How many days per week do you do exercise/activity B?,0.5951122821270858,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4H73AFD = How many times per day do you do exercise/activity A?,0.5951122821270858,0.0
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73AFD = How many times per day do you do exercise/activity A?,0.5837304668826205,0.0
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,0.5837304668826205,0.0
C4H73AFW = How many days per week do you do exercise/activity A?,C4H73AI = What is the intensity of exercise/activity A?,0.5829382497074762,0.0
C4H73AI = What is the intensity of exercise/activity A?,C4H73AFW = How many days per week do you do exercise/activity A?,0.5829382497074762,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.5823298905714368,0.0
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4H73BFW = How many days per week do you do exercise/activity B?,0.5823298905714368,0.0
C4H73BI = What is the intensity of exercise/activity B?,total_physical_activity,-0.5797894067191899,0.0
total_physical_activity,C4H73BI = What is the intensity of exercise/activity B?,-0.5797894067191899,0.0
C4H73AS = Seasonal exercise/activity A?,C4H73BFW = How many days per week do you do exercise/activity B?,0.5781583750830798,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4H73AS = Seasonal exercise/activity A?,0.5781583750830798,0.0
C4BTRIGL = Blood Triglycerides (mg/dL),C4H73BFW = How many days per week do you do exercise/activity B?,0.5760800286720504,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4BTRIGL = Blood Triglycerides (mg/dL),0.5760800286720504,0.0
C4H73BI = What is the intensity of exercise/activity B?,C4H73AI = What is the intensity of exercise/activity A?,0.5710109857938155,0.0
C4H73AI = What is the intensity of exercise/activity A?,C4H73BI = What is the intensity of exercise/activity B?,0.5710109857938155,0.0
C4H73BFD = How many times per day do you do exercise/activity B?,C4H73AI = What is the intensity of exercise/activity A?,0.5692430164055602,0.0
C4H73AI = What is the intensity of exercise/activity A?,C4H73BFD = How many times per day do you do exercise/activity B?,0.5692430164055602,0.0
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73AC = Exercise/Activity A – Coded,0.5640004470466272,0.0
C4H73AC = Exercise/Activity A – Coded,C4H73AFD = How many times per day do you do exercise/activity A?,0.5640004470466272,0.0
total_physical_activity,C4H73BS = Seasonal exercise/activity B?,-0.5623358857097521,0.0
C4H73BS = Seasonal exercise/activity B?,total_physical_activity,-0.5623358857097521,0.0
C4H73AI = What is the intensity of exercise/activity A?,C4H73AC = Exercise/Activity A – Coded,0.5621838022133107,0.0
C4H73AC = Exercise/Activity A – Coded,C4H73AI = What is the intensity of exercise/activity A?,0.5621838022133107,0.0
C4H73AC = Exercise/Activity A – Coded,C4H73AS = Seasonal exercise/activity A?,0.5596430196895171,0.0
C4H73AS = Seasonal exercise/activity A?,C4H73AC = Exercise/Activity A – Coded,0.5596430196895171,0.0
C4H73AFW = How many days per week do you do exercise/activity A?,C4H73AS = Seasonal exercise/activity A?,0.559250155495211,0.0
C4H73AS = Seasonal exercise/activity A?,C4H73AFW = How many days per week do you do exercise/activity A?,0.559250155495211,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4BHDL = Blood HDL Cholesterol (mg/dL),-0.5559723878810237,0.0
C4BHDL = Blood HDL Cholesterol (mg/dL),C4H73BFW = How many days per week do you do exercise/activity B?,-0.5559723878810237,0.0
C4H73CI = What is the intensity of exercise/activity C?,C4BRTHDL = Blood Ratio Total / HDL Cholesterol,0.555722174902138,0.0
C4BRTHDL = Blood Ratio Total / HDL Cholesterol,C4H73CI = What is the intensity of exercise/activity C?,0.555722174902138,0.0
C4H73AC = Exercise/Activity A – Coded,C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,0.5555943091444142,0.0
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73AC = Exercise/Activity A – Coded,0.5555943091444142,0.0
C4H73CS = Seasonal exercise/activity C?,C4H73BI = What is the intensity of exercise/activity B?,0.555200809176755,0.0
C4H73BI = What is the intensity of exercise/activity B?,C4H73CS = Seasonal exercise/activity C?,0.555200809176755,0.0
C4H73CS = Seasonal exercise/activity C?,C4H73BC = Exercise/Activity B – Coded,0.5533670459989958,0.0
C4H73BC = Exercise/Activity B – Coded,C4H73CS = Seasonal exercise/activity C?,0.5533670459989958,0.0
C4BHA1C = Blood Hemoglobin A1c %,C1PA26 = Ever had cancer,-0.5501036265242586,0.0
C1PA26 = Ever had cancer,C4BHA1C = Blood Hemoglobin A1c %,-0.5501036265242586,0.0
C4BRTHDL = Blood Ratio Total / HDL Cholesterol,C4H73CFD = How many times per day do you do exercise/activity C?,0.5493960760049568,0.0
C4H73CFD = How many times per day do you do exercise/activity C?,C4BRTHDL = Blood Ratio Total / HDL Cholesterol,0.5493960760049568,0.0
C4H73AS = Seasonal exercise/activity A?,total_physical_activity,-0.5482205697933686,0.0
total_physical_activity,C4H73AS = Seasonal exercise/activity A?,-0.5482205697933686,0.0
C4H73BC = Exercise/Activity B – Coded,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.5476599340648078,0.0
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4H73BC = Exercise/Activity B – Coded,0.5476599340648078,0.0
C4H73AS = Seasonal exercise/activity A?,C4H73BS = Seasonal exercise/activity B?,0.5472556780001828,0.0
C4H73BS = Seasonal exercise/activity B?,C4H73AS = Seasonal exercise/activity A?,0.5472556780001828,0.0
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,total_physical_activity,-0.5469327905741911,0.0
total_physical_activity,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,-0.5469327905741911,0.0
C4H73CI = What is the intensity of exercise/activity C?,C4BTRIGL = Blood Triglycerides (mg/dL),0.544609459152031,0.0
C4BTRIGL = Blood Triglycerides (mg/dL),C4H73CI = What is the intensity of exercise/activity C?,0.544609459152031,0.0
C4H73BI = What is the intensity of exercise/activity B?,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.5403680716046428,0.0
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4H73BI = What is the intensity of exercise/activity B?,0.5403680716046428,0.0
C4H73BS = Seasonal exercise/activity B?,C4H73AFD = How many times per day do you do exercise/activity A?,0.5389723417640564,0.0
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73BS = Seasonal exercise/activity B?,0.5389723417640564,0.0
C4BRTHDL = Blood Ratio Total / HDL Cholesterol,C1PA26 = Ever had cancer,0.5386338266690652,0.0
C1PA26 = Ever had cancer,C4BRTHDL = Blood Ratio Total / HDL Cholesterol,0.5386338266690652,0.0
C4H73AS = Seasonal exercise/activity A?,C4H73BC = Exercise/Activity B – Coded,0.5366907269839203,0.0
C4H73BC = Exercise/Activity B – Coded,C4H73AS = Seasonal exercise/activity A?,0.5366907269839203,0.0
C4H73BI = What is the intensity of exercise/activity B?,C4H73AFD = How many times per day do you do exercise/activity A?,0.5355125418474792,0.0
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73BI = What is the intensity of exercise/activity B?,0.5355125418474792,0.0
C4H73CFD = How many times per day do you do exercise/activity C?,C4BTRIGL = Blood Triglycerides (mg/dL),0.5335261694591187,0.0
C4BTRIGL = Blood Triglycerides (mg/dL),C4H73CFD = How many times per day do you do exercise/activity C?,0.5335261694591187,0.0
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4H73AFD = How many times per day do you do exercise/activity A?,0.5316420978815429,0.0
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.5316420978815429,0.0
C4H1P = Have you ever had cancer?,C4BRTHDL = Blood Ratio Total / HDL Cholesterol,0.5260678818081184,0.0
C4BRTHDL = Blood Ratio Total / HDL Cholesterol,C4H1P = Have you ever had cancer?,0.5260678818081184,0.0
C4H73BS = Seasonal exercise/activity B?,C4H73CS = Seasonal exercise/activity C?,0.5254820414766748,0.0
C4H73CS = Seasonal exercise/activity C?,C4H73BS = Seasonal exercise/activity B?,0.5254820414766748,0.0
C4H73AFD = How many times per day do you do exercise/activity A?,C4H73BC = Exercise/Activity B – Coded,0.5238165651527663,0.0
C4H73BC = Exercise/Activity B – Coded,C4H73AFD = How many times per day do you do exercise/activity A?,0.5238165651527663,0.0
C1PB1=Highest level of education completed,C1PA26 = Ever had cancer,-0.5233568433629311,0.0
C1PA26 = Ever had cancer,C1PB1=Highest level of education completed,-0.5233568433629311,0.0
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4H73CS = Seasonal exercise/activity C?,0.5225997896295457,0.0
C4H73CS = Seasonal exercise/activity C?,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.5225997896295457,0.0
C4H73BC = Exercise/Activity B – Coded,C4H73CFD = How many times per day do you do exercise/activity C?,0.5218570180311848,0.0
C4H73CFD = How many times per day do you do exercise/activity C?,C4H73BC = Exercise/Activity B – Coded,0.5218570180311848,0.0
C4H73AI = What is the intensity of exercise/activity A?,C4H73BS = Seasonal exercise/activity B?,0.5185553514988859,0.0
C4H73BS = Seasonal exercise/activity B?,C4H73AI = What is the intensity of exercise/activity A?,0.5185553514988859,0.0
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.5171849444476563,0.0
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.5171849444476563,0.0
C4H73BS = Seasonal exercise/activity B?,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.5147416336717178,0.0
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4H73BS = Seasonal exercise/activity B?,0.5147416336717178,0.0
C4H73BC = Exercise/Activity B – Coded,C4H73CFW = How many days per week do you do exercise/activity C?,0.5145384328835029,0.0
C4H73CFW = How many days per week do you do exercise/activity C?,C4H73BC = Exercise/Activity B – Coded,0.5145384328835029,0.0
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4H73AS = Seasonal exercise/activity A?,0.5121305995965441,0.0
C4H73AS = Seasonal exercise/activity A?,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.5121305995965441,0.0
C4H73CI = What is the intensity of exercise/activity C?,C4H73BC = Exercise/Activity B – Coded,0.5116261570954418,0.0
C4H73BC = Exercise/Activity B – Coded,C4H73CI = What is the intensity of exercise/activity C?,0.5116261570954418,0.0
C4H73BI = What is the intensity of exercise/activity B?,C4H73AS = Seasonal exercise/activity A?,0.5114664629444176,0.0
C4H73AS = Seasonal exercise/activity A?,C4H73BI = What is the intensity of exercise/activity B?,0.5114664629444176,0.0
C4H73CFD = How many times per day do you do exercise/activity C?,C4BHDL = Blood HDL Cholesterol (mg/dL),-0.5113045712798305,0.0
C4BHDL = Blood HDL Cholesterol (mg/dL),C4H73CFD = How many times per day do you do exercise/activity C?,-0.5113045712798305,0.0
C4H73AI = What is the intensity of exercise/activity A?,C4H73BFW = How many days per week do you do exercise/activity B?,0.5104933638411432,0.0
C4H73BFW = How many days per week do you do exercise/activity B?,C4H73AI = What is the intensity of exercise/activity A?,0.5104933638411432,0.0
C4BHDL = Blood HDL Cholesterol (mg/dL),C4H73CI = What is the intensity of exercise/activity C?,-0.5100249566596142,0.0
C4H73CI = What is the intensity of exercise/activity C?,C4BHDL = Blood HDL Cholesterol (mg/dL),-0.5100249566596142,0.0
