Variable 1,Variable 2,Spearman Correlation,P-value,N
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73CC = Exercise/Activity C – Coded,0.27908671772680566,3.0558737863875487e-125,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73CS = Seasonal exercise/activity C?,0.2978902168172142,3.145140229888635e-143,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73CFD = How many times per day do you do exercise/activity C?,0.2526513716669341,3.0570982083428425e-102,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73CFW = How many days per week do you do exercise/activity C?,0.2651116124867571,9.358245354664456e-113,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.3028016408046986,3.714110986492317e-148,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73CI = What is the intensity of exercise/activity C?,0.24100813537798074,6.219664099596187e-93,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73DC = Exercise/Activity D – Coded,0.16271145312316024,1.1242054256442484e-42,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73DS = Seasonal exercise/activity D?,0.15955717739700423,4.394169750129733e-41,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73DFD = How many times per day do you do exercise/activity D?,0.16054585769435115,1.4039893797515096e-41,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73DFW = How many days per week do you do exercise/activity D?,0.15830163467104919,1.8515894855978752e-40,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.16189228250798374,2.9337491728787996e-42,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73DI = What is the intensity of exercise/activity D?,0.16074943449787,1.1090163685055607e-41,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73EC = Exercise/Activity E – Coded,0.0840735589581173,1.9185104571120677e-12,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73ES = Seasonal exercise/activity E?,0.08301513565711716,3.618299707904042e-12,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73EFD = How many times per day do you do exercise/activity E?,0.08304238805715908,3.5600217456866516e-12,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73EFW = How many days per week do you do exercise/activity E?,0.08364520348516213,2.4824990346134606e-12,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.08347787955213268,2.7444632872265107e-12,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73EI = What is the intensity of exercise/activity E?,0.08381925661611066,2.2360327177789706e-12,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73FC = Exercise/Activity F – Coded,0.06029645157317199,4.538842133443967e-07,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73FS = Seasonal exercise/activity F?,0.06024468580420084,4.6429749733603006e-07,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73FFD = How many times per day do you do exercise/activity F?,0.06012003186055494,4.903271117370049e-07,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73FFW = How many days per week do you do exercise/activity F?,0.06016237212033124,4.813318805997034e-07,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,0.06010331812965993,4.939223979474677e-07,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73FI = What is the intensity of exercise/activity F?,0.06052675306361965,4.1022408807303513e-07,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73GC = Exercise/Activity G – Coded,0.01983974134511991,0.09719796227757431,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73GS = Seasonal exercise/activity G?,0.01983974134511991,0.09719796227757431,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73GFD = How many times per day do you do exercise/activity G?,0.019843650273763544,0.09713207331069439,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73GFW = How many days per week do you do exercise/activity G?,0.019873310142430017,0.09663328859655593,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,0.01983453827190642,0.09728572078731308,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H73GI = What is the intensity of exercise/activity G?,0.019843832020299025,0.09712901065687399,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H60 = Have you now or in the past used tobacco regularly?,-0.10312088577872479,5.472961082914441e-18,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,"C4H61 = Have you ever smoked cigarettes regularly-that is, at least a few cigarettes every day?",-0.10454903181928339,1.894306611669515e-18,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H61A = Do you currently smoke cigarettes regularly?,-0.12314111641764067,5.004139231296148e-25,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,"C4H62 = Since we last interviewed you, have you tried to quit smoking?",-0.16273688985512655,1.0911264131011019e-42,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H63 = For how many years did you smoke regularly?,-0.09650604270401339,6.168604651182725e-16,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,"C4H64 = During this period, how many cigarettes did you smoke per day, on average?",-0.09320290713572361,5.812609361805492e-15,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H65 = How old were you the last time you smoked regularly?,-0.09265404375796692,8.375263842841326e-15,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,"C4H66A = Do you currently smoke a pipe or cigars, or use snuff or chewing tobacco regularly?",-0.027348613984156188,0.02222309819698502,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,"C4H67 = For how many years did you regularly smoke a pipe or cigars, or use snuff or chewing tobacco?",-0.10465990552875092,1.7434682280534313e-18,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,"C4H68 = In the past, did anyone in your household smoke tobacco inside your home regularly?",-0.03724450882465547,0.001843218047446999,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,"C4H69 = Currently, does anyone regularly smoke cigarettes or other tobacco products inside your home?",-0.1397885175722167,7.690086582576769e-32,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4SSQ_S1 = SLEEP Component 1 - Subjective Sleep Quality,0.09422567318168266,2.9262645180827106e-15,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4SSQ_S2 = SLEEP Component 2 - Sleep Latency,0.14293567687824868,3.1527531631909495e-33,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4SSQ_S3 = SLEEP Component 3 - Sleep Duration,0.0448088332300398,0.00017859915553766447,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4SSQ_S4 = SLEEP Component 4 - Habitual Sleep Efficiency,0.037195280864365535,0.0018691204575080373,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4AD59 = Sun AM Minutes To Fall Asleep,0.03307444812264689,0.005683706886824621,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.03331996619592506,0.005335764562689722,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4AD511 = Sun AM How Many Times Did You Wake,-0.02861618257773717,0.01673161570231371,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4AD512 = Sun AM Wake Because of Noise or Activity,0.02337751836333285,0.05065115778020171,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.0708787999955275,2.9870111539652805e-09,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,"C4AD514 = Sun AM If Woke, Number of Times Left Bed",-0.020679405114193434,0.08384444192774484,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4AD515 = Sun AM Time Wake Up and Not Return To Sleep,0.08264482671809008,4.509231458328914e-12,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4AD516 = Sun AM Time Get Out of Bed,0.09892082366546587,1.1396120485676333e-16,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4AD517 = Sun AM How Deeply Did You Sleep,0.01747651264891324,0.1440166999474845,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4AD518 = Sun AM How Well Rested Do You Feel,0.04881361946709605,4.449130536069394e-05,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4AD519 = Sun AM How Alert Do You Feel,0.06629428425486872,2.894079011884287e-08,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4AD520 = Sun AM Overall Quality of Sleep,0.040152673999017834,0.0007857483064037506,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4WA1SLT = Active 1 Sleep Time,0.13456667636212585,1.3117577022114318e-29,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4WA1PSL = Active 1 % Sleep Time,0.135407818081528,5.810394946992504e-30,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4WA1SLB = Active 1 # Sleep Bouts,0.06789150996396148,1.3336760772677892e-08,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4WA1ASB = Active 1 Avg Sleep Bouts,0.059447242116288386,6.569740716098251e-07,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4WS2SLT = Sleep 2 Sleep Time,0.03855996976533972,0.0012620348711405883,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4WS2PSL = Sleep 2 % Sleep Time,0.029538258360306997,0.013523422587749622,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4WS2SLB = Sleep 2 # Sleep Bouts,0.07951975299973882,2.7814318937975352e-11,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4WS2ASB = Sleep 2 Avg Sleep Bouts,0.021177867776055903,0.07664665446784934,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4BCHOL = Blood Total Cholesterol (mg/dL),-0.05915200966472245,7.462450502313467e-07,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4BHDL = Blood HDL Cholesterol (mg/dL),-0.1647410526031268,1.021555588383845e-43,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4BLDL = Blood LDL Cholesterol (mg/dL),-0.051057529596344485,1.9481748879132817e-05,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4BRTHDL = Blood Ratio Total / HDL Cholesterol,0.07548001651723353,2.6414020846192086e-10,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H1I = Have you ever had diabetes?,-0.03586954048521206,0.0027056031547780957,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4BHA1C = Blood Hemoglobin A1c %,0.052203190464615135,1.261330109495262e-05,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H1B = Have you ever had high blood pressure?,-0.11491974983453045,5.512854313204367e-22,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4P1GS = Average BP (sitting) systolic,-0.0307460315890725,0.010149101728288165,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4P1GD = Average BP (sitting) diastolic,0.026238397100259422,0.02825852946504708,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C1PA26 = Ever had cancer,-0.011716622154786381,0.3273621698171586,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C1PA28AA = Age breast cancer diagnosed,0.06406586927681833,8.282911687479864e-08,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H1P = Have you ever had cancer?,0.07103942743025234,2.751292830973961e-09,6990
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,Family history of breast cancer,-0.05115818087529255,1.8758380548542553e-05,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73BC = Exercise/Activity B – Coded,0.5359758545955001,0.0,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73BS = Seasonal exercise/activity B?,0.545203371604989,0.0,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73BFD = How many times per day do you do exercise/activity B?,0.5932725675268973,0.0,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73BFW = How many days per week do you do exercise/activity B?,0.5494676359112172,0.0,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.5262091271464077,0.0,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73BI = What is the intensity of exercise/activity B?,0.5880862398506809,0.0,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73CC = Exercise/Activity C – Coded,0.46050244268175644,0.0,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73CS = Seasonal exercise/activity C?,0.46097725970969383,0.0,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73CFD = How many times per day do you do exercise/activity C?,0.4683742143170918,0.0,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73CFW = How many days per week do you do exercise/activity C?,0.44118605360976787,0.0,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.46256569431743616,0.0,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73CI = What is the intensity of exercise/activity C?,0.47954994054683936,0.0,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73DC = Exercise/Activity D – Coded,0.27126570116041493,3.665497931868236e-118,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73DS = Seasonal exercise/activity D?,0.27120386627787885,4.160766901735048e-118,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73DFD = How many times per day do you do exercise/activity D?,0.27064555562656956,1.3046090610318207e-117,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73DFW = How many days per week do you do exercise/activity D?,0.2688052432247133,5.534318438296686e-116,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.2706147325696384,1.3894597734354614e-117,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73DI = What is the intensity of exercise/activity D?,0.2695305975334052,1.2678996798815304e-116,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73EC = Exercise/Activity E – Coded,0.15392284634596445,2.5467784322769885e-38,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73ES = Seasonal exercise/activity E?,0.15459239176718456,1.2107121329010585e-38,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73EFD = How many times per day do you do exercise/activity E?,0.15417600116354063,1.9233340555219514e-38,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73EFW = How many days per week do you do exercise/activity E?,0.15420985386286176,1.8523934064097194e-38,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.15399188246520729,2.3591704211028064e-38,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73EI = What is the intensity of exercise/activity E?,0.1536639260736203,3.3922647277578096e-38,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73FC = Exercise/Activity F – Coded,0.09623802899723885,7.42133684124176e-16,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73FS = Seasonal exercise/activity F?,0.09661759010196365,5.71087801196581e-16,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73FFD = How many times per day do you do exercise/activity F?,0.09668389270925543,5.454841824899567e-16,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73FFW = How many days per week do you do exercise/activity F?,0.09631881606105518,7.019434538955257e-16,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,0.0966036314712649,5.766271027214392e-16,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73FI = What is the intensity of exercise/activity F?,0.09634819452024142,6.878662673994728e-16,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73GC = Exercise/Activity G – Coded,0.08527156537871708,9.267663322456377e-13,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73GS = Seasonal exercise/activity G?,0.08527156537871708,9.267663322456377e-13,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73GFD = How many times per day do you do exercise/activity G?,0.08527225475994941,9.263756982073529e-13,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73GFW = How many days per week do you do exercise/activity G?,0.08530706070136063,9.068617084482731e-13,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,0.08525706334538226,9.350213931437495e-13,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H73GI = What is the intensity of exercise/activity G?,0.0852697761501465,9.277809429499399e-13,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H60 = Have you now or in the past used tobacco regularly?,-0.13844768868567128,2.933130491604082e-31,6990
C4H73AI = What is the intensity of exercise/activity A?,"C4H61 = Have you ever smoked cigarettes regularly-that is, at least a few cigarettes every day?",-0.14034870692601947,4.378486679327763e-32,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H61A = Do you currently smoke cigarettes regularly?,-0.15785026859775828,3.0964022540330626e-40,6990
C4H73AI = What is the intensity of exercise/activity A?,"C4H62 = Since we last interviewed you, have you tried to quit smoking?",-0.16637679110897927,1.4453765462320694e-44,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H63 = For how many years did you smoke regularly?,-0.1148787681690303,5.701771369368765e-22,6990
C4H73AI = What is the intensity of exercise/activity A?,"C4H64 = During this period, how many cigarettes did you smoke per day, on average?",-0.11978620641086334,9.253925965349964e-24,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H65 = How old were you the last time you smoked regularly?,-0.11935394978441756,1.3396682238170276e-23,6990
C4H73AI = What is the intensity of exercise/activity A?,"C4H66A = Do you currently smoke a pipe or cigars, or use snuff or chewing tobacco regularly?",-0.05103961307656844,1.9613266403715524e-05,6990
C4H73AI = What is the intensity of exercise/activity A?,"C4H67 = For how many years did you regularly smoke a pipe or cigars, or use snuff or chewing tobacco?",-0.13981240457698232,7.507951027731318e-32,6990
C4H73AI = What is the intensity of exercise/activity A?,"C4H68 = In the past, did anyone in your household smoke tobacco inside your home regularly?",0.09986362608953421,5.82806135326535e-17,6990
C4H73AI = What is the intensity of exercise/activity A?,"C4H69 = Currently, does anyone regularly smoke cigarettes or other tobacco products inside your home?",-0.17368923336046846,1.801705720043583e-48,6990
C4H73AI = What is the intensity of exercise/activity A?,C4SSQ_S1 = SLEEP Component 1 - Subjective Sleep Quality,0.15256736887523112,1.1359198915237062e-37,6990
C4H73AI = What is the intensity of exercise/activity A?,C4SSQ_S2 = SLEEP Component 2 - Sleep Latency,0.1997179748570998,8.160437292001207e-64,6990
C4H73AI = What is the intensity of exercise/activity A?,C4SSQ_S3 = SLEEP Component 3 - Sleep Duration,-0.16085214374461063,9.844878780448871e-42,6990
C4H73AI = What is the intensity of exercise/activity A?,C4SSQ_S4 = SLEEP Component 4 - Habitual Sleep Efficiency,-0.04956804605943669,3.383274243087818e-05,6990
C4H73AI = What is the intensity of exercise/activity A?,C4AD59 = Sun AM Minutes To Fall Asleep,0.2555475727363732,1.2382304808995311e-104,6990
C4H73AI = What is the intensity of exercise/activity A?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.03879483498598472,0.0011780970831909504,6990
C4H73AI = What is the intensity of exercise/activity A?,C4AD511 = Sun AM How Many Times Did You Wake,0.08068883184927046,1.4195207882496385e-11,6990
C4H73AI = What is the intensity of exercise/activity A?,C4AD512 = Sun AM Wake Because of Noise or Activity,0.19115030062172625,1.6372668059349092e-58,6990
C4H73AI = What is the intensity of exercise/activity A?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.1014247965930292,1.893397084962086e-17,6990
C4H73AI = What is the intensity of exercise/activity A?,"C4AD514 = Sun AM If Woke, Number of Times Left Bed",0.05889680214683991,8.327311328508332e-07,6990
C4H73AI = What is the intensity of exercise/activity A?,C4AD515 = Sun AM Time Wake Up and Not Return To Sleep,-0.011868770085656538,0.32111924795528,6990
C4H73AI = What is the intensity of exercise/activity A?,C4AD516 = Sun AM Time Get Out of Bed,-0.0011811492150678538,0.9213496357874218,6990
C4H73AI = What is the intensity of exercise/activity A?,C4AD517 = Sun AM How Deeply Did You Sleep,-0.07208878652005228,1.6010442072449972e-09,6990
C4H73AI = What is the intensity of exercise/activity A?,C4AD518 = Sun AM How Well Rested Do You Feel,0.07385583085121471,6.323580448665841e-10,6990
C4H73AI = What is the intensity of exercise/activity A?,C4AD519 = Sun AM How Alert Do You Feel,0.08421677460348946,1.7596195033285146e-12,6990
C4H73AI = What is the intensity of exercise/activity A?,C4AD520 = Sun AM Overall Quality of Sleep,-0.05402154314200215,6.2123850853746884e-06,6990
C4H73AI = What is the intensity of exercise/activity A?,C4WA1SLT = Active 1 Sleep Time,0.17137534976811875,3.237419362936151e-47,6990
C4H73AI = What is the intensity of exercise/activity A?,C4WA1PSL = Active 1 % Sleep Time,0.1970230863693094,4.040377042983281e-62,6990
C4H73AI = What is the intensity of exercise/activity A?,C4WA1SLB = Active 1 # Sleep Bouts,0.04392320516599713,0.0002393733034420239,6990
C4H73AI = What is the intensity of exercise/activity A?,C4WA1ASB = Active 1 Avg Sleep Bouts,0.22732656772069476,1.2782952299809611e-82,6990
C4H73AI = What is the intensity of exercise/activity A?,C4WS2SLT = Sleep 2 Sleep Time,0.17411051491664709,1.0601628034883484e-48,6990
C4H73AI = What is the intensity of exercise/activity A?,C4WS2PSL = Sleep 2 % Sleep Time,-0.10581663474061623,7.297601427588677e-19,6990
C4H73AI = What is the intensity of exercise/activity A?,C4WS2SLB = Sleep 2 # Sleep Bouts,0.20977084841613963,2.3468936684132865e-70,6990
C4H73AI = What is the intensity of exercise/activity A?,C4WS2ASB = Sleep 2 Avg Sleep Bouts,-0.0635336589027233,1.0593908046356004e-07,6990
C4H73AI = What is the intensity of exercise/activity A?,C4BCHOL = Blood Total Cholesterol (mg/dL),0.030295449394984356,0.011308566526006505,6990
C4H73AI = What is the intensity of exercise/activity A?,C4BHDL = Blood HDL Cholesterol (mg/dL),-0.3277624069368148,1.025388920284376e-174,6990
C4H73AI = What is the intensity of exercise/activity A?,C4BLDL = Blood LDL Cholesterol (mg/dL),0.07557774119833624,2.504776270702787e-10,6990
C4H73AI = What is the intensity of exercise/activity A?,C4BRTHDL = Blood Ratio Total / HDL Cholesterol,0.30276259891359447,4.068245430572623e-148,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H1I = Have you ever had diabetes?,0.0994342855962494,7.915677517941277e-17,6990
C4H73AI = What is the intensity of exercise/activity A?,C4BHA1C = Blood Hemoglobin A1c %,-0.1133102048106237,2.051870256423849e-21,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H1B = Have you ever had high blood pressure?,-0.031463597686333375,0.008520087134668394,6990
C4H73AI = What is the intensity of exercise/activity A?,C4P1GS = Average BP (sitting) systolic,0.14683932352551848,5.418143747740778e-35,6990
C4H73AI = What is the intensity of exercise/activity A?,C4P1GD = Average BP (sitting) diastolic,0.14489930295745873,4.140512807325745e-34,6990
C4H73AI = What is the intensity of exercise/activity A?,C1PA26 = Ever had cancer,0.10586676972643332,7.025753075515546e-19,6990
C4H73AI = What is the intensity of exercise/activity A?,C1PA28AA = Age breast cancer diagnosed,-0.0337683321173183,0.004749607129065382,6990
C4H73AI = What is the intensity of exercise/activity A?,C4H1P = Have you ever had cancer?,0.19051113141452572,3.9785306537872916e-58,6990
C4H73AI = What is the intensity of exercise/activity A?,Family history of breast cancer,0.06124578885155176,2.984487960414039e-07,6990
C4H73BC = Exercise/Activity B – Coded,C4H73BS = Seasonal exercise/activity B?,0.8758992609227283,0.0,6990
C4H73BC = Exercise/Activity B – Coded,C4H73BFD = How many times per day do you do exercise/activity B?,0.8517391796807815,0.0,6990
C4H73BC = Exercise/Activity B – Coded,C4H73BFW = How many days per week do you do exercise/activity B?,0.7488660667989832,0.0,6990
C4H73BC = Exercise/Activity B – Coded,C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,0.8136466039544095,0.0,6990
C4H73BC = Exercise/Activity B – Coded,C4H73BI = What is the intensity of exercise/activity B?,0.8475129924404522,0.0,6990
C4H73BC = Exercise/Activity B – Coded,C4H73CC = Exercise/Activity C – Coded,0.5350922563652935,0.0,6990
C4H73BC = Exercise/Activity B – Coded,C4H73CS = Seasonal exercise/activity C?,0.5809158507299854,0.0,6990
C4H73BC = Exercise/Activity B – Coded,C4H73CFD = How many times per day do you do exercise/activity C?,0.5540993859430597,0.0,6990
C4H73BC = Exercise/Activity B – Coded,C4H73CFW = How many days per week do you do exercise/activity C?,0.5421101780643494,0.0,6990
C4H73BC = Exercise/Activity B – Coded,C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,0.579055178301866,0.0,6990
C4H73BC = Exercise/Activity B – Coded,C4H73CI = What is the intensity of exercise/activity C?,0.5436795349395572,0.0,6990
C4H73BC = Exercise/Activity B – Coded,C4H73DC = Exercise/Activity D – Coded,0.20712093174379864,1.3442180739036388e-68,6990
C4H73BC = Exercise/Activity B – Coded,C4H73DS = Seasonal exercise/activity D?,0.20758931430263244,6.599384618405819e-69,6990
C4H73BC = Exercise/Activity B – Coded,C4H73DFD = How many times per day do you do exercise/activity D?,0.2071285829888642,1.328705391875441e-68,6990
C4H73BC = Exercise/Activity B – Coded,C4H73DFW = How many days per week do you do exercise/activity D?,0.2078014855356322,4.778557935180323e-69,6990
C4H73BC = Exercise/Activity B – Coded,C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,0.20580977221053146,9.75780093228739e-68,6990
C4H73BC = Exercise/Activity B – Coded,C4H73DI = What is the intensity of exercise/activity D?,0.20800781415160233,3.489814183714543e-69,6990
C4H73BC = Exercise/Activity B – Coded,C4H73EC = Exercise/Activity E – Coded,0.09610240724480373,8.147592969204193e-16,6990
C4H73BC = Exercise/Activity B – Coded,C4H73ES = Seasonal exercise/activity E?,0.09583084848984344,9.818560509053308e-16,6990
C4H73BC = Exercise/Activity B – Coded,C4H73EFD = How many times per day do you do exercise/activity E?,0.09535358415479882,1.361093864765289e-15,6990
C4H73BC = Exercise/Activity B – Coded,C4H73EFW = How many days per week do you do exercise/activity E?,0.09490180039695945,1.851442726571929e-15,6990
C4H73BC = Exercise/Activity B – Coded,C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,0.09614345427488903,7.920696317006374e-16,6990
C4H73BC = Exercise/Activity B – Coded,C4H73EI = What is the intensity of exercise/activity E?,0.09486062960115589,1.903952021120837e-15,6990
C4H73BC = Exercise/Activity B – Coded,C4H73FC = Exercise/Activity F – Coded,0.06631259640574227,2.868772798384417e-08,6990
C4H73BC = Exercise/Activity B – Coded,C4H73FS = Seasonal exercise/activity F?,0.06641293065410986,2.7338820412577853e-08,6990
C4H73BC = Exercise/Activity B – Coded,C4H73FFD = How many times per day do you do exercise/activity F?,0.06706892163944041,1.9919795617764422e-08,6990
C4H73BC = Exercise/Activity B – Coded,C4H73FFW = How many days per week do you do exercise/activity F?,0.06711678282216325,1.9462687552093517e-08,6990
C4H73BC = Exercise/Activity B – Coded,C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,0.06642656009732369,2.7160399834692238e-08,6990
C4H73BC = Exercise/Activity B – Coded,C4H73FI = What is the intensity of exercise/activity F?,0.06688718468736422,2.1752326575911836e-08,6990
