Physical Activity Variable,Motivation Variable,Correlation,P-value
C4H73BC = Exercise/Activity B – Coded,C4Q1L = MASQ Felt depressed,0.10983807551552731,3.4284535235441296e-34
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.1091799590531862,8.426576894732553e-34
C4H73EI = What is the intensity of exercise/activity E?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.10891751696563179,1.204295777389386e-33
C4H73EC = Exercise/Activity E – Coded,C4AD510 = Sun AM How Difficult To Fall Asleep,0.1083470097667161,2.6094888346263505e-33
C4H73AFW = How many days per week do you do exercise/activity A?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.10729865753541631,1.0690813877885128e-32
C4H73CC = Exercise/Activity C – Coded,C4Q4I = PSS Angered because of things that were outside of your control,0.10722767360241724,1.1756086195807232e-32
C4H73BI = What is the intensity of exercise/activity B?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.10609975323896134,5.272922929538754e-32
C4H73AC = Exercise/Activity A – Coded,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.10578672505529,7.974574826785829e-32
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.10273478188165332,4.219615035565849e-30
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.10230742210333768,7.287294773970807e-30
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.10230742210333768,7.287294773970807e-30
C4H73BC = Exercise/Activity B – Coded,C4H1V = Have you ever had depression?,-0.10136282541463157,2.4183972065572437e-29
C4H73AFW = How many days per week do you do exercise/activity A?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.10116053009252847,3.122232093755739e-29
C4H73CFD = How many times per day do you do exercise/activity C?,C4Q4I = PSS Angered because of things that were outside of your control,0.0995852799778163,2.2423491957546614e-28
C1PA24EC = High blood pressure therapy - Exercise,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.0995514370057169,2.3385717729446666e-28
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4Q3F = CESD I felt depressed,-0.0992755195436906,3.2922101643065e-28
C4H73GC = Exercise/Activity G – Coded,C4Q3F = CESD I felt depressed,-0.09920621323433154,3.5870111525894785e-28
C4H73GS = Seasonal exercise/activity G?,C4Q3F = CESD I felt depressed,-0.09920621323433154,3.5870111525894785e-28
C4H73GFW = How many days per week do you do exercise/activity G?,C4Q3F = CESD I felt depressed,-0.09914235505347657,3.881744679805006e-28
C4H73GFD = How many times per day do you do exercise/activity G?,C4Q3F = CESD I felt depressed,-0.09912665316779352,3.957820309313351e-28
C4H73GI = What is the intensity of exercise/activity G?,C4Q3F = CESD I felt depressed,-0.0990213455474609,4.507677198109018e-28
C4H73AFD = How many times per day do you do exercise/activity A?,C4Q4I = PSS Angered because of things that were outside of your control,0.09753623914299313,2.7815314748918108e-27
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.09645880094726597,1.0236924922126962e-26
C4H73FS = Seasonal exercise/activity F?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.09636363714055769,1.1477521161944032e-26
C4H73FC = Exercise/Activity F – Coded,C4AD510 = Sun AM How Difficult To Fall Asleep,0.09614587426143006,1.49053623164016e-26
C4H73FFD = How many times per day do you do exercise/activity F?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.0961359475661285,1.5083774731284948e-26
C4H73FI = What is the intensity of exercise/activity F?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.0961307396321412,1.517822189720209e-26
C4H73FFW = How many days per week do you do exercise/activity F?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.09610911445894937,1.557671118220362e-26
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.095144645881417,4.918775832151965e-26
C4H73FFW = How many days per week do you do exercise/activity F?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.09469146224650897,8.409392161678897e-26
C4H73FFW = How many days per week do you do exercise/activity F?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.09469146224650897,8.409392161678897e-26
C4H73FI = What is the intensity of exercise/activity F?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.09461094568374308,9.247590223575445e-26
C4H73FI = What is the intensity of exercise/activity F?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.09461094568374308,9.247590223575445e-26
C4H73FFD = How many times per day do you do exercise/activity F?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.09448318799140447,1.0750560286314895e-25
C4H73FFD = How many times per day do you do exercise/activity F?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.09448318799140447,1.0750560286314895e-25
C4H73FC = Exercise/Activity F – Coded,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.09444926849955114,1.1188723054398335e-25
C4H73FC = Exercise/Activity F – Coded,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.09444926849955114,1.1188723054398335e-25
C4H73FS = Seasonal exercise/activity F?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.09418264251484464,1.5308744685764625e-25
C4H73FS = Seasonal exercise/activity F?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.09418264251484464,1.5308744685764625e-25
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.09412524665892473,1.63756975148751e-25
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,-0.09412524665892473,1.63756975148751e-25
C4H73BS = Seasonal exercise/activity B?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.09225489850429172,1.4385944369475703e-24
C4H73BS = Seasonal exercise/activity B?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.09225489850429172,1.4385944369475703e-24
C4H73AI = What is the intensity of exercise/activity A?,C4Q4G = PSS Able to control irritations in your life,-0.09197399762513857,1.9862795493466487e-24
C4H73AI = What is the intensity of exercise/activity A?,C4Q4G = PSS Able to control irritations in your life,-0.09197399762513857,1.9862795493466487e-24
C4H73DS = Seasonal exercise/activity D?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.09154745414973509,3.2356922932341953e-24
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.09117576196287577,4.941279975766144e-24
C4H73DFD = How many times per day do you do exercise/activity D?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.08975318649477641,2.4585429666490935e-23
C4H73GC = Exercise/Activity G – Coded,C4Q4G = PSS Able to control irritations in your life,0.08960044562762084,2.9164005138190417e-23
C4H73GS = Seasonal exercise/activity G?,C4Q4G = PSS Able to control irritations in your life,0.08960044562762084,2.9164005138190417e-23
C4H73GC = Exercise/Activity G – Coded,C4Q4G = PSS Able to control irritations in your life,0.08960044562762084,2.9164005138190417e-23
C4H73GS = Seasonal exercise/activity G?,C4Q4G = PSS Able to control irritations in your life,0.08960044562762084,2.9164005138190417e-23
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4Q4G = PSS Able to control irritations in your life,0.0895787030890658,2.9880982695846906e-23
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,C4Q4G = PSS Able to control irritations in your life,0.0895787030890658,2.9880982695846906e-23
C4H73GFW = How many days per week do you do exercise/activity G?,C4Q4G = PSS Able to control irritations in your life,0.08953924309211621,3.1227062827526134e-23
C4H73GFW = How many days per week do you do exercise/activity G?,C4Q4G = PSS Able to control irritations in your life,0.08953924309211621,3.1227062827526134e-23
C4H73GFD = How many times per day do you do exercise/activity G?,C4Q4G = PSS Able to control irritations in your life,0.08952678624412456,3.166433582715521e-23
C4H73GFD = How many times per day do you do exercise/activity G?,C4Q4G = PSS Able to control irritations in your life,0.08952678624412456,3.166433582715521e-23
C4H73GI = What is the intensity of exercise/activity G?,C4Q4G = PSS Able to control irritations in your life,0.08945958583632069,3.4129945164544744e-23
C4H73GI = What is the intensity of exercise/activity G?,C4Q4G = PSS Able to control irritations in your life,0.08945958583632069,3.4129945164544744e-23
C4H73DC = Exercise/Activity D – Coded,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.08938640700974493,3.7031406618273306e-23
C4H73AI = What is the intensity of exercise/activity A?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.08927800083057473,4.1783949036529075e-23
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4AD510 = Sun AM How Difficult To Fall Asleep,-0.08906113783751567,5.317680081471589e-23
C4H73CFW = How many days per week do you do exercise/activity C?,C4Q4I = PSS Angered because of things that were outside of your control,0.08888348088188143,6.476123679230559e-23
C4H73DI = What is the intensity of exercise/activity D?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.08858020661942197,9.05806685577628e-23
C4H73CS = Seasonal exercise/activity C?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.08846016598399846,1.0341341013270814e-22
C4H73AI = What is the intensity of exercise/activity A?,C4Q4I = PSS Angered because of things that were outside of your control,0.08805060635688752,1.6229829143477745e-22
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q3F = CESD I felt depressed,0.08756223199496609,2.7703595114147744e-22
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.0872452417348178,3.913606396774795e-22
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.0872452417348178,3.913606396774795e-22
C4H73DFW = How many days per week do you do exercise/activity D?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.08643966944752152,9.363597691906129e-22
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.08541389359560662,2.8106955238747356e-21
C1PA24EC = High blood pressure therapy - Exercise,C4H1V = Have you ever had depression?,0.08524645666460046,3.358901301195657e-21
C4H73DC = Exercise/Activity D – Coded,C4Q1FF = MASQ Was unable to relax,-0.08463155588653196,6.443009167516951e-21
C4H73DI = What is the intensity of exercise/activity D?,C4Q1FF = MASQ Was unable to relax,-0.08444509638698434,7.842771731363323e-21
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.08357640821683797,1.948869927884783e-20
C4H73FI = What is the intensity of exercise/activity F?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.08349523231229997,2.1208810509727662e-20
C4H73FFW = How many days per week do you do exercise/activity F?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.08346677420260223,2.184669278929134e-20
C4H73FS = Seasonal exercise/activity F?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.08342978035682333,2.27043271577821e-20
C4H73FFD = How many times per day do you do exercise/activity F?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.08334714483809717,2.47421347485341e-20
C4H73FC = Exercise/Activity F – Coded,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.08327916402141873,2.655328760224526e-20
C1PA24EC = High blood pressure therapy - Exercise,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.08258146078119964,5.464762489164772e-20
C4H73DFD = How many times per day do you do exercise/activity D?,C4Q1FF = MASQ Was unable to relax,-0.08216208331277298,8.408619764800777e-20
C4H73DS = Seasonal exercise/activity D?,C4Q1FF = MASQ Was unable to relax,-0.08193530795976245,1.0605552504477178e-19
C4H73BFW = How many days per week do you do exercise/activity B?,C4Q4I = PSS Angered because of things that were outside of your control,0.08163022056522744,1.447833342357823e-19
C4H73BI = What is the intensity of exercise/activity B?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.08152609502880834,1.6096914644088092e-19
C4H73BC = Exercise/Activity B – Coded,C4Q3F = CESD I felt depressed,0.0814199167525819,1.793139719446272e-19
C4H73CI = What is the intensity of exercise/activity C?,C4Q4I = PSS Angered because of things that were outside of your control,0.08115056704984079,2.3563779240427905e-19
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.08038999281043754,5.07139418410701e-19
C4H73BS = Seasonal exercise/activity B?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.08030723609552534,5.510114416543398e-19
C4H73AC = Exercise/Activity A – Coded,C4H1V = Have you ever had depression?,0.07986525509375701,8.570039787336724e-19
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.0797001430990129,1.0101219111435379e-18
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4Q1FF = MASQ Was unable to relax,-0.07954796867406845,1.1750097504548794e-18
C4H73FI = What is the intensity of exercise/activity F?,C4Q1A = MASQ Felt sad,-0.07931998901016496,1.4729539639952993e-18
C4H73FI = What is the intensity of exercise/activity F?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.07920079169687552,1.657273074092917e-18
C4H73FFW = How many days per week do you do exercise/activity F?,C4Q1A = MASQ Felt sad,-0.07916457044555135,1.7176669556212863e-18
C4H73FC = Exercise/Activity F – Coded,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.07915383362520198,1.7359830329997966e-18
C4H73FS = Seasonal exercise/activity F?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.07914570342574605,1.7499806179272788e-18
C4H73DFW = How many days per week do you do exercise/activity D?,C4Q1FF = MASQ Was unable to relax,-0.07910493729742857,1.821864625451001e-18
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.07910199781703334,1.8271591534883395e-18
C4H73FS = Seasonal exercise/activity F?,C4Q1A = MASQ Felt sad,-0.07904069735629418,1.941099642724699e-18
C4H73FFW = How many days per week do you do exercise/activity F?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.07901418884678836,1.9925182673865617e-18
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4Q1L = MASQ Felt depressed,0.07900520503831253,2.0102474685602204e-18
C4H73FFD = How many times per day do you do exercise/activity F?,C4Q1A = MASQ Felt sad,-0.07898259940910103,2.055550787371792e-18
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4Q1A = MASQ Felt sad,-0.07892857606662278,2.1679408624358833e-18
C4H73FFD = How many times per day do you do exercise/activity F?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.07884044499851835,2.3644463668533015e-18
C4H73FC = Exercise/Activity F – Coded,C4Q1A = MASQ Felt sad,-0.07878155861748941,2.505441292130621e-18
C4H73BM = What is the average number of minutes/session that you do exercise/activity B?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.07823540707287142,4.278601180576485e-18
C4H73DFW = How many days per week do you do exercise/activity D?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.07788260565379729,6.033781320251963e-18
C4H73BC = Exercise/Activity B – Coded,C4Q4G = PSS Able to control irritations in your life,-0.07732853842326894,1.032045360832179e-17
C4H73BC = Exercise/Activity B – Coded,C4Q4G = PSS Able to control irritations in your life,-0.07732853842326894,1.032045360832179e-17
C4H73DI = What is the intensity of exercise/activity D?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.07727478982244909,1.086987949153269e-17
C4H73AFW = How many days per week do you do exercise/activity A?,C4H1V = Have you ever had depression?,-0.07575351356267017,4.6492691369572455e-17
C4H73EFD = How many times per day do you do exercise/activity E?,C4Q3F = CESD I felt depressed,-0.07525927361972258,7.409314450955918e-17
C4H73EI = What is the intensity of exercise/activity E?,C4Q3F = CESD I felt depressed,-0.07524128043957003,7.53566704270336e-17
C4H73EC = Exercise/Activity E – Coded,C4Q3F = CESD I felt depressed,-0.0751370748114024,8.310321666848134e-17
C4H73DC = Exercise/Activity D – Coded,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.07489453395747966,1.0430473278281959e-16
C4H73ES = Seasonal exercise/activity E?,C4Q3F = CESD I felt depressed,-0.07488044690302427,1.0568812028104538e-16
C4H73DFD = How many times per day do you do exercise/activity D?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.07470557568878188,1.244430496666544e-16
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4Q3F = CESD I felt depressed,-0.07444829223892362,1.5814399328403077e-16
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.07411756421313542,2.1494501020658695e-16
C4H73EFW = How many days per week do you do exercise/activity E?,C4Q3F = CESD I felt depressed,-0.07403228638038782,2.325934358924718e-16
C4H73FFW = How many days per week do you do exercise/activity F?,C4Q1L = MASQ Felt depressed,-0.07382388850611224,2.8195631322043405e-16
C4H73FI = What is the intensity of exercise/activity F?,C4Q1L = MASQ Felt depressed,-0.07381419164066667,2.8448895446812153e-16
C4H73FFD = How many times per day do you do exercise/activity F?,C4Q1L = MASQ Felt depressed,-0.07361184408323573,3.4276069608031774e-16
C4H73BI = What is the intensity of exercise/activity B?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,0.07355140873563865,3.623421057870448e-16
C4H73FS = Seasonal exercise/activity F?,C4Q1L = MASQ Felt depressed,-0.07337770429869962,4.2497064005574946e-16
C4H73FC = Exercise/Activity F – Coded,C4Q1L = MASQ Felt depressed,-0.07328276005566672,4.635926553384244e-16
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4Q1L = MASQ Felt depressed,-0.07324088055380297,4.817090666339414e-16
C4H73CS = Seasonal exercise/activity C?,C4AD510 = Sun AM How Difficult To Fall Asleep,-0.07259212147078341,8.699427013848486e-16
C4H73DS = Seasonal exercise/activity D?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.07256234684277149,8.937545491188045e-16
C4H73BI = What is the intensity of exercise/activity B?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.07143122450288764,2.473131211583772e-15
C4H73BI = What is the intensity of exercise/activity B?,C4Q3C = CESD I felt that I could not shake off the blues even with the help of my family and friends,0.07143122450288764,2.473131211583772e-15
C4H73BFD = How many times per day do you do exercise/activity B?,C4AD510 = Sun AM How Difficult To Fall Asleep,-0.07131505546211177,2.743208766168523e-15
C4H73AS = Seasonal exercise/activity A?,C4Q4D = PSS Confident about your ability to handle your personal problems,-0.0711546787706455,3.1643284037035724e-15
C4H73EI = What is the intensity of exercise/activity E?,C4Q1FF = MASQ Was unable to relax,-0.06990556383643796,9.520723272926138e-15
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,C4Q1FF = MASQ Was unable to relax,-0.06916603016588597,1.8112902807521084e-14
C4H73ES = Seasonal exercise/activity E?,C4Q1FF = MASQ Was unable to relax,-0.0688156932620663,2.4507221816565132e-14
C4H73EFD = How many times per day do you do exercise/activity E?,C4Q1FF = MASQ Was unable to relax,-0.06877633286305668,2.5351612712288828e-14
C4H73EC = Exercise/Activity E – Coded,C4Q1FF = MASQ Was unable to relax,-0.06864231302362069,2.8446949980448563e-14
C4H73EFW = How many days per week do you do exercise/activity E?,C4Q1FF = MASQ Was unable to relax,-0.06844519776818764,3.368575347303849e-14
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.0671892575549277,9.780148898447057e-14
C4H73FS = Seasonal exercise/activity F?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.06717043370409399,9.936185026498105e-14
C1PA24EC = High blood pressure therapy - Exercise,C4Q3F = CESD I felt depressed,-0.06715111631113377,1.0098855404056892e-13
C4H73BS = Seasonal exercise/activity B?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.06713387942105146,1.024621364513544e-13
C4H73FI = What is the intensity of exercise/activity F?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.06712954507286095,1.0283599229604319e-13
C4H73FFW = How many days per week do you do exercise/activity F?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.06695637770119711,1.189207632967383e-13
C4H73FC = Exercise/Activity F – Coded,C4Q1AA = MASQ Felt like I had a lot of energy,-0.06686948122035334,1.2789926165911504e-13
C4H73FFD = How many times per day do you do exercise/activity F?,C4Q1AA = MASQ Felt like I had a lot of energy,-0.0668387000240659,1.31236824909675e-13
C1PA24EC = High blood pressure therapy - Exercise,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.06630156156426646,2.0534039651930334e-13
C4H73BI = What is the intensity of exercise/activity B?,C4Q1L = MASQ Felt depressed,0.06587969462743229,2.911374298090858e-13
C4H73BS = Seasonal exercise/activity B?,C4Q1FF = MASQ Was unable to relax,0.0653984718425197,4.3241780892891507e-13
C4H73EI = What is the intensity of exercise/activity E?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.06432029163045916,1.0384429602748812e-12
C4H73EC = Exercise/Activity E – Coded,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.06402414364525502,1.317690272989073e-12
C4H73EI = What is the intensity of exercise/activity E?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.06387895230726155,1.480309158909484e-12
C4H73EFD = How many times per day do you do exercise/activity E?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.06380427493970728,1.5714593763547822e-12
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.06378864962205541,1.59121658945303e-12
C4H73DC = Exercise/Activity D – Coded,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.06373650974067838,1.6589234866781368e-12
C4H73ES = Seasonal exercise/activity E?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.06371787618376927,1.6837993133613656e-12
C4H73CM = What is the average number of minutes/session that you do exercise/activity C?,C4Q4I = PSS Angered because of things that were outside of your control,0.0636444433521239,1.7854441420048602e-12
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.06363522208249105,1.798625979189783e-12
C4H73EM = What is the average number of minutes/session that you do exercise/activity E?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.06360741959874788,1.8389501880477758e-12
C4H73DM = What is the average number of minutes/session that you do exercise/activity D?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.06344383551547132,2.0948014083802233e-12
C4H73EC = Exercise/Activity E – Coded,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.06335121932700448,2.254809897837826e-12
C4H73DS = Seasonal exercise/activity D?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.06324878708969776,2.4457511780595925e-12
C4H73EFW = How many days per week do you do exercise/activity E?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.06310616121907035,2.73825951632826e-12
C4H73EFD = How many times per day do you do exercise/activity E?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.06297642691864934,3.033953715889397e-12
C4H73EFW = How many days per week do you do exercise/activity E?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.06287942724647766,3.2752786452850295e-12
C4H73BS = Seasonal exercise/activity B?,C4Q1A = MASQ Felt sad,0.06244336893403966,4.613815187471711e-12
C4H73ES = Seasonal exercise/activity E?,"C4AD513 = Sun AM If Woke, Difficulty Getting To Sleep",0.06227080525041064,5.280474386155379e-12
C4H73AS = Seasonal exercise/activity A?,C4Q4I = PSS Angered because of things that were outside of your control,0.062171266790093854,5.707034754724429e-12
C1PA24EC = High blood pressure therapy - Exercise,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.061584403756044175,9.00033151222062e-12
C4H73FI = What is the intensity of exercise/activity F?,C4Q3R = CESD I felt sad,-0.06136133310382078,1.0690180753978319e-11
C4H73FM = What is the average number of minutes/session that you do exercise/activity F?,C4Q3R = CESD I felt sad,-0.061253298336198164,1.1616660209815956e-11
C4H73FFW = How many days per week do you do exercise/activity F?,C4Q3R = CESD I felt sad,-0.06116244745282733,1.2456281979278123e-11
C4H73FS = Seasonal exercise/activity F?,C4Q3R = CESD I felt sad,-0.06115232569232729,1.2553426241894835e-11
C4H73AM = What is the average number of minutes/session that you do exercise/activity A?,C4H1V = Have you ever had depression?,-0.06111351907003176,1.2932798651071552e-11
C4H73FC = Exercise/Activity F – Coded,C4Q3R = CESD I felt sad,-0.061050443332855725,1.3573510926847721e-11
C4H73FFD = How many times per day do you do exercise/activity F?,C4Q3R = CESD I felt sad,-0.060949976438266745,1.4658755643836766e-11
C4H73DFD = How many times per day do you do exercise/activity D?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.060876264675451305,1.550858449486207e-11
C4H73DS = Seasonal exercise/activity D?,C4Q1A = MASQ Felt sad,-0.06080172867568448,1.6416922699424357e-11
C4H73CI = What is the intensity of exercise/activity C?,C4Q4D = PSS Confident about your ability to handle your personal problems,0.06071831499819228,1.749527822077919e-11
C4H73DC = Exercise/Activity D – Coded,C4Q1A = MASQ Felt sad,-0.060658616796809145,1.830931735826698e-11
C4H73CFD = How many times per day do you do exercise/activity C?,C4Q4D = PSS Confident about your ability to handle your personal problems,0.06027999535012047,2.4406330458610972e-11
C4H73DS = Seasonal exercise/activity D?,C4H1V = Have you ever had depression?,0.059916557386784475,3.21082073717535e-11
C4H73BS = Seasonal exercise/activity B?,C4AD510 = Sun AM How Difficult To Fall Asleep,0.05977112072580705,3.581678747771182e-11
C4H73GM = What is the average number of minutes/session that you do exercise/activity G?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.05929450151075198,5.115337978306093e-11
C4H73GC = Exercise/Activity G – Coded,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.05922521611495728,5.3861193894536384e-11
C4H73GS = Seasonal exercise/activity G?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.05922521611495728,5.3861193894536384e-11
C4H73GFW = How many days per week do you do exercise/activity G?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.0591710335186018,5.607598414518123e-11
C4H73GFD = How many times per day do you do exercise/activity G?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.0591681566273178,5.619603901060093e-11
C4H73GI = What is the intensity of exercise/activity G?,"C4QCESDDA = CESD Depressive Affect Subscale (C,F,I,J,N,Q,R)",-0.059088125354251,5.963843532160775e-11
C4H73DFD = How many times per day do you do exercise/activity D?,C4Q1A = MASQ Felt sad,-0.05905285549140429,6.122018968021248e-11
C4H73DI = What is the intensity of exercise/activity D?,C4Q4J = PSS Difficulties were piling up so high that you couldnt overcome them,-0.05901426098071944,6.299806645600524e-11
